TITLE,ARTIST
THE SCOTTS,"THE SCOTTS, Travis Scott & Kid Cudi"
Blinding Lights,The Weeknd
Toosie Slide,Drake
Savage,Megan Thee Stallion
The Box,Roddy Ricch
Say So,Doja Cat
Don't Start Now,Dua Lipa
Circles,Post Malone
Intentions,Justin Bieber Feat. Quavo
Adore You,Harry Styles
Righteous,Juice WRLD
Life Is Good,Future Feat. Drake
My Oh My,Camila Cabello Feat. DaBaby
ROCKSTAR,DaBaby Feat. Roddy Ricch
The Bones,Maren Morris
everything i wanted,Billie Eilish
Someone You Loved,Lewis Capaldi
Nobody But You,Blake Shelton Duet With Gwen Stefani
I Hope,Gabby Barrett
Blueberry Faygo,Lil Mosey
Memories,Maroon 5
Chasin' You,Morgan Wallen
Roses (Imanbek Remix),SAINt JHN
Falling,Trevor Daniel
High Fashion,Roddy Ricch Feat. Mustard
death bed,Powfu Feat. beabadoobee
Hot Girl Bummer,blackbear
Sunday Best,Surfaces
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin
Does To Me,Luke Combs Feat. Eric Church
Heart On Ice,Rod Wave
Ballin',Mustard & Roddy Ricch
Roxanne,Arizona Zervas
Dance Monkey,Tones And I
WHATS POPPIN,Jack Harlow
Break My Heart,Dua Lipa
Heartless,The Weeknd
HIGHEST IN THE ROOM,Travis Scott
I Hope You're Happy Now,Carly Pearce & Lee Brice
Beer Can't Fix,Thomas Rhett Feat. Jon Pardi
Level Of Concern,twenty one pilots
I Love Me,Demi Lovato
More Hearts Than Mine,Ingrid Andress
After A Few,Travis Denning
All In,Lil Baby
"10,000 Hours",Dan + Shay & Justin Bieber
Hard To Forget,Sam Hunt
Supalonely,BENEE Feat. Gus Dapperton
Goosebumps,Travis Scott
Before You Go,Lewis Capaldi
In Your Eyes,The Weeknd
Dior,Pop Smoke
Sum 2 Prove,Lil Baby
Slide,H.E.R. Feat. YG
Catch,Brett Young
Walk Em Down,NLE Choppa Feat. Roddy Ricch
Heartless,Diplo Presents Thomas Wesley Feat. Morgan Wallen
JUMP,DaBaby Feat. YoungBoy Never Broke Again
If The World Was Ending,JP Saxe Feat. Julia Michaels
OUT WEST,JACKBOYS Feat. Young Thug
Stupid Love,Lady Gaga
Yo Perreo Sola,Bad Bunny
I'm Ready,Sam Smith & Demi Lovato
P*$$y Fairy (OTW),Jhene Aiko
Sasuke,Lil Uzi Vert
Godzilla,Eminem Feat. Juice WRLD
Find My Way,DaBaby
Cool Again,Kane Brown
BELIEVE IT,PARTYNEXTDOOR & Rihanna
Bluebird,Miranda Lambert
Emotionally Scarred,Lil Baby
You should be sad,Halsey
Here And Now,Kenny Chesney
Turks,"NAV, Gunna & Travis Scott"
Be A Light,"Thomas Rhett Feat. Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban"
Slow Dance In A Parking Lot,Jordan Davis
Come Thru,Summer Walker & Usher
After Party,Don Toliver
Homemade,Jake Owen
Ride It.,Regard
God Whispered Your Name,Keith Urban
In Between,Scotty McCreery
Ain't Easy,YoungBoy Never Broke Again
Party Girl,StaySolidRocky
Die From A Broken Heart,Maddie & Tae
Diamonds,YoungBoy Never Broke Again
Myron,Lil Uzi Vert
July,Noah Cyrus & Leon Bridges
Captain Hook,Megan Thee Stallion
Bout My Business,YoungBoy Never Broke Again Feat. Sherhonda Gaulden
That Way,Lil Uzi Vert
Rough Ryder,YoungBoy Never Broke Again
B.S.,Jhene Aiko Feat. H.E.R.
Underdog,Alicia Keys
I Love My Country,Florida Georgia Line
NASTY,DaBaby Feat. Ashanti & Megan Thee Stallion
Drinking Alone,Carrie Underwood
PTSD,"G Herbo Feat. Chance The Rapper, Juice WRLD & Lil Uzi Vert"
Thug Of Spades,YoungBoy Never Broke Again Feat. DaBaby
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow"
